"","time","crpval","cgrain","accrst","agcprd","bgcjprd","bgcmprd","fcacc","somtc","totsysc","aagdefac","abgdefac","strmac(2)","stdede(1)","volpac","tgzrte(1)","metabe(1,1)","struce(1,1)","petann","wdfx","nfixac","tnetmn(1)","somsc","strmac(1)","strmac(6)","fertot(1,1)","omadtot","omaetot(1)","irrtot","resp(1)","annet","aglivc","bglivcj","bglivcm","aglive(1)","bglivej(1)","bglivem(1)","egrain(1)","ermvst(1)","somte(1)","totsyse(1)","tminrl(1)","minerl(1,1)","minerl(2,1)","minerl(3,1)","minerl(4,1)","minerl(5,1)","minerl(6,1)","minerl(7,1)","minerl(8,1)","agcacc","bgcjacc","bgcmacc","eupaga(1)","cinput","fertot(2,1)","shrema","site","treatment","Exp_start","Exp_end","Tillage","Fertilizer","Res_rem"
"1",1868,"'TMC471'",0,0,112.565,105.745,5.566,0,4679.029,4847.437,0,0,0,0.251,0,0,0.148,0.085997,0,0.932,0,0,4536.81,0,0,0,0,0,0,0,66.295,1.555,60.086,32.168,0.036759,1.041,0.556,0,0,379.431,382.658,3.131,0.366,0.76,0.381,0.399,0.543,0.407,0.196,0.07914,0,0,0,0,0,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"2",1868.08,"'TMC471'",0,0,112.565,105.745,5.566,0,4680.004,4843.831,0.070469,0.069491,0,0.216,2.2526e-05,0,0.17,0.096407,0.727,0.381,0,0.114,4537.042,2.3603e-08,0,0,0,0,0,3.605,0.634,1.549,56.31,31.141,0.036609,0.975,0.538,0,0,379.588,382.747,3.062,0.275,0.777,0.383,0.397,0.531,0.413,0.205,0.081484,0,0,0,0,8.347,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"3",1868.17,"'TMC471'",0,0,112.565,105.745,5.566,0,4681.406,4840.87,0.063793,0.062069,0,0.186,3.5621e-05,0,0.189,0.105,1.618,0.395,0,0.22,4537.262,2.3603e-08,9.7881e-08,0,0,0,0,6.566,1.409,1.545,52.751,30.142,0.036522,0.914,0.521,0,0,379.726,382.822,3.005,0.194,0.796,0.385,0.395,0.521,0.417,0.212,0.083873,0,0,0,0,15.955,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"4",1868.25,"'TMC471'",0,0,112.565,105.745,5.566,0,4682.929,4838.246,0.060636,0.058821,0,0.16,4.5551e-05,0,0.203,0.113,4.437,0.431,0,0.327,4537.657,4.8167e-08,1.1713e-06,0,0,0,0,9.189,3.843,1.542,49.418,29.175,0.036456,0.856,0.504,0,0,379.844,382.88,2.988,0.153,0.812,0.389,0.395,0.516,0.42,0.218,0.085831,0,0,0,0,22.88,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"5",1868.33,"'TMC471'",0,0,112.565,105.745,5.566,0,4712.292,4735.495,0.102,0.092113,0,0,5.0433e-05,0,0.184,0.028662,12.291,0.487,0,1.71,4524.967,5.4788e-08,0.00401,0,0,0,0,111.85,9.589,0,0,-1.907e-06,0,0,0,0,0,381.455,381.896,4.323,1.104,0.662,0.347,0.407,0.653,0.739,0.319,0.092321,0,0,0,0,119.191,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"6",1868.42,"'SW164'",0,0,112.565,105.745,5.566,0,4588.491,4632.437,0.17,0.151,0,0,5.0433e-05,0,0.086277,0.020623,24.354,0.559,0,3.419,4477.29,1.939e-07,0.0041591,0,0,0,0,241.203,16.958,13.731,10.688,0.74,0.589,0.228,0.015669,0,0,379.809,381.085,5.194,0.984,1.395,0.447,0.465,0.728,0.715,0.357,0.103,14.378,11.325,0.596,0.614,120.33,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"7",1868.5,"'SW164'",0,0,112.565,105.745,5.566,0,4533.38,4717.834,0.298,0.234,0.056279,0,5.0433e-05,0,0.026924,0.018108,37.048,0.645,0,5.584,4459.924,0.305,0.018274,0,0,0,0,298.213,29.065,109.199,53.186,5.115,3.297,1.15,0.111,0,0,377.669,382.649,3.64,0.164,0.115,0.050061,0.432,0.746,0.728,0.675,0.729,109.846,56.146,2.955,3.322,120.637,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"8",1868.58,"'SW164'",0,0,112.565,105.745,5.566,0,4527.131,4820.352,0.318,0.226,0.057194,0,5.0433e-05,0,0.017062,0.017145,51.268,0.726,0,6.028,4457.991,0.31,0.018274,0,0,0,0,305.628,40.705,192.004,74.218,10.514,4.644,1.575,0.225,0,0,377.298,384.133,2.28,0.050003,0.018885,0.0025845,0.0053239,0.068842,0.728,0.677,0.729,192.651,81.917,4.311,4.668,121.333,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"9",1868.67,"'SW164'",0,0,112.565,105.745,5.566,0,4509.197,4922.064,0.405,0.276,0.05752,0,5.0433e-05,0,0.0058301,0.014961,61.959,0.806,0,7.242,4450.696,0.312,0.019565,0,0,0,0,325.182,51.091,294.798,87.323,15.203,6.198,1.829,0.323,0,0,376.182,384.866,1.659,0.147,0.068907,0.010898,0.0049052,0.0064523,0.0077881,0.684,0.73,295.444,99.49,5.236,6.223,122.037,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
"10",1868.75,"'SW164'",133.62,180.387,334.906,106.331,5.596,0,4571.843,4618.228,0.448,0.318,0.281,0.045689,0.27,0,0.293,0.07368,68.916,0.869,0,8.01,4454.53,1.365,0.023533,0,0,0,0,361.597,57.147,0.209,0.045669,0.0030598,0.0057567,0.00078671,5.271e-05,4.043,2.183,377.362,378.302,1.585,0.205,0.087624,0.026081,0.02105,0.023721,0.018233,0.523,0.68,0,0,0,0,247.983,0,0,"rosemount","NTrr2",1979,1993,"No Till",200,100
